_id,baujahr,baujahrZusatz,bezirk,denkmalnummer,feedsEntityId,feedsFlatstoreEntryId,kurzbezeichnung,lat,lon,nummer,ort,plz,strasse,timestamp,unterSchutz,untergruppe1,untergruppe2
,1902,,9,1022,1187,1022,"Wohn- u. Geschäftshaus",0.0,0.0,61,Dellbrück,51069,"Dellbrücker Hauptstrasse",1432648737,27.05.1982,,0
,1892,,1,1026,1187,1026,"Kirche St. Heribert",0.0,0.0,64,Deutz,50679,"Deutzer Freiheit",1432648737,01.06.1982,,0
,1927,,4,1034,1187,1034,"Kirche St. Dreikönigen",0.0,0.0,8,Bickendorf,50827,"Plankgasse ",1432648737,01.06.1982,,0
,1851,,4,1041,1187,1041,"Kirche St. Johann vor dem lateinischen Tor",0.0,0.0,"1228  (ehem. Nr. 1282)",Ehrenfeld,50823,"Venloer Strasse",1432648737,01.06.1982,,0
,1910,um,1,1042,1187,1042,"Wohn- u. Geschäftshaus",0.0,0.0,9-11,Altstadt-Nord,50677,Albertusstrasse,1432648737,07.06.1982,,0
,1905,um,1,1046,1187,1046,Wohnhaus,0.0,0.0,9,Neustadt-Süd,50678,Veledastrasse,1432648737,07.06.1982,,0
,1906,um,1,1052,1187,1052,"Wohn- u. Geschäftshaus",0.0,0.0,8,Neustadt-Nord,50668,"Am Zuckerberg ",1432648737,29.06.1982,,0
,13,,9,1056,1187,1056,"Kirche St. Mariä Geburt",0.0,0.0,65,Stammheim,51061,"Stammheimer Hauptstrasse",1432648737,20.07.1983,,0
,1890,um,1,1057,1187,1057,"Wohn- u. Geschäftshaus",0.0,0.0,4,Neustadt-Süd,50677,"Am Duffesbach ",1432648737,26.08.1982,,0
,1880,um,9,1059,1187,1059,Wohnhaus,0.0,0.0,149,Mülheim,51065,"Bergisch Gladbacher Strasse",1432648737,26.08.1982,,0
,1903,,9,1060,1187,1060,Wohnhaus,0.0,0.0,1147,Dellbrück,51069,"Bergisch Gladbacher Strasse",1432648737,26.08.1982,,0
,1906,,9,1061,1187,1061,Wohnhaus,0.0,0.0,1163,Dellbrück,51069,"Bergisch Gladbacher Strasse",1432648737,21.09.1982,,0
,1913,,1,1064,1187,1064,"Wohn- u. Geschäftshaus",0.0,0.0,24-26,Altstadt-Nord,50667,"Große Sandkaul",1432648737,26.08.1982,,0
,1800,um,2,1077,1187,1077,"ehem. Hofanlage",0.0,0.0,"4 u. 6,    2",Meschernich,50997,"Alte Kölnstrasse / Meschenicher Strasse",1432648737,30.08.1982,,0
,1900,um,9,1078,1187,1078,"Wohn- u. Geschäftshaus",0.0,0.0,102,Mülheim,51065,"Bergisch Gladbacher Strasse",1432648737,30.08.1982,,0
,1883,,1,1089,1187,1089,Wohnhaus,0.0,0.0,21,Altstadt-Nord,50672,"Hildeboldplatz ",1432648737,30.08.1982,,0
,1903,um,1,1094,1187,1094,"Wohn- u. Geschäftshaus",0.0,0.0,20,Neustadt-Nord,50670,"Krefelder Wall",1432648737,06.09.1982,,0
,1880,um,9,1097,1187,1097,Wohnhaus,0.0,0.0,67-69,Mülheim,51065,"Holweider Strasse",1432648737,06.09.1982,,0
,1873,,2,1098,1187,1098,"Kirche St. Servatius u. Kirchhof",0.0,0.0,22,Immendorf,50997,"Immendorfer Hauptstrasse",1432648737,06.09.1982,,0
,1891,,2,1102,1187,1102,"Kirche St. Blasius",0.0,0.0,"2  /  425",Meschernich,50997,"Alte Kölnstrasse / Brühler Landstrasse",1432648737,07.09.1982,,0
,1895,um,1,1113,1187,1113,Wohnhaus,0.0,0.0,3,Neustadt-Nord,50672,"Gladbacher Wall ",1432648737,09.09.1982,,0
